Sub_id1,Sub_id2,click_hour,click_day_of_week,commission_level
oppo,red,15,6,1
oppo,red,15,6,0
judydoll,purple,23,5,0
judydoll,purple,23,5,0
judydoll,purple,23,5,0
colgateOpticWhite,purple,10,6,1
colgateOpticWhite,purple,12,6,1
judydoll,purple,22,5,0
judydoll,purple,13,4,0
colgateOpticWhite,red,19,5,1
